,date,user,location,hashtags,urls,text
1099,2020-05-07 04:02:36,KeyKey_Stephens,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1100,2020-05-07 04:01:05,chayos_theory,"Baltimore, MD","['Covid_19', 'StayHome', 'ReopenAmerica', 'TrumpOwnsEveryDeath', 'BlackTwitter']",[],"Sooooooo we're opening up jobs but not schools and people definitely can't afford child or health care sooooooo what's the point on this cycle??? 🤦🏽‍♀️ 🤦🏽‍♀️ 🤦🏽‍♀️ 🤦🏽‍♀️ 🤦🏽‍♀️

#Covid_19 #StayHome #ReopenAmerica #TrumpOwnsEveryDeath #BlackTwitter"
1101,2020-05-07 03:56:33,miramoro55,this side of paradise,"['ArrestThemNow', 'ArrestThemAllNow']",[],@escapedmatrix All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
1102,2020-05-07 03:52:58,DivineAlchemy__,ℕ𝕚𝕣𝕧𝕒𝕟𝕒,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1103,2020-05-07 03:51:37,_ebonyhunter,"Orlando, FL",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1104,2020-05-07 03:47:03,JasmineTamia1,Va,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1105,2020-05-07 03:35:55,b_amaya_,"South Carolina, USA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1106,2020-05-07 03:30:15,gladys_ayomide2,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1107,2020-05-07 03:25:25,shesatechie,"Indiana, USA","['BlackTwitter', 'BlackLivesMatter', 'BLM', 'Indianapolis']",[],"What are your stories with IMPD or Marion County Jail? 

What have you seen/experienced? 
#BlackTwitter #BlackLivesMatter #BLM #Indianapolis"
1108,2020-05-07 03:25:09,j0_bennett,"Ashland, OR",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1109,2020-05-07 03:22:53,PowerFluff_Girl,"Boston, MA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1110,2020-05-07 03:20:09,_cayum,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1111,2020-05-07 03:04:35,GirlsNext_Dior,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1112,2020-05-07 02:58:43,mylesperhrpodc1,"Atlanta, GA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1113,2020-05-07 02:58:37,tbslonelyheart,ca,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1114,2020-05-07 02:58:11,jazzjanaee,"Los Angeles, CA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1115,2020-05-07 02:54:06,tarotsav,paypal/venmo/cashapp-tarotsav,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1116,2020-05-07 02:50:59,anonymously_uni,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1117,2020-05-07 02:50:53,PriscillaSmitty,the kitchen,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1118,2020-05-07 02:50:18,darealpaigedoll,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1119,2020-05-07 02:50:16,dreamgirl0724,"Atlanta, GA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1120,2020-05-07 02:49:10,Queen_Yagin,,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1121,2020-05-07 02:49:03,LadyL_,"Pennsylvania, USA",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1122,2020-05-07 02:48:44,iamqweenstorm,"Houston, TX",[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1123,2020-05-07 02:46:13,moneybagbruce,👼🏽👼🏽👼🏽,[],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1124,2020-05-07 02:45:38,ShadaeMccallum,,['BlackTwitter'],[],"My name is Shadae and I’m a freelance model in SC. I’m just tryna grow and expand my brand. A simple like or retweet can go a long way. 
Here’s my insta ✨ @Shadaenotadu 
#BlackTwitter https://t.co/8MtgJMUCVc"
1125,2020-05-07 02:14:50,sagesophie12,"Brooklyn, NY","['stayhome', 'rona', 'BlackTwitter']",[],"In weighing the pros and cons between opening up the economy or not, Trump's logic is as old as 1865: dead Black people don't vote. #stayhome #rona #45 #BlackTwitter"
1126,2020-05-07 01:58:52,tokyo_reboot1,,[],[],"Synopsis:
An armed group of White Men haunted an innocent unarmed Black Man and MURDERED him. 

Georgia Law enforcement DID NOT press ANY charges.

Black community, organize and RETALIATE with the same aggression

or just SHUT THE FUCK UP.

#BlackTwitter

https://t.co/NA0Y18sc3x"
1127,2020-05-07 01:15:35,PlayboyBPAC,Your girl house on y'all bed ,"['UK', 'Canada', 'France', 'Germany', 'Australia', 'BlackTwitter']",[],"#UK #Canada #France #Germany #Australia I'm TIRED when #BlackTwitter gets police harassed or die by racist Whites U go ""I do that all the time""

Until u get treated the same like minorities, I'ma need u to STFU. https://t.co/s1t9tTa3Qu"
1128,2020-05-07 01:11:29,JosephVida3,,"['BlackTwitter', 'BlackTwitterMovement']","[{'url': 'https://t.co/PLtjXGdBem', 'expanded_url': 'https://twitter.com/TheLaurenChen/status/1258169434016972805', 'display_url': 'twitter.com/TheLaurenChen/…', 'indices': [274, 297]}]","Everybody is talking about Ahmaud Arbery...
Is this a case of Nazis killing a black man,or is there more to the story...
Drop a comment below and let Lauren know what you think...
Subscribe to Lauren's Twitter---&gt; @TheLaurenChen 
#BlackTwitter #BlackTwitterMovement 
👇👇👇 https://t.co/PLtjXGdBem"
1129,2020-05-07 01:11:17,pierremalikx,"Chicago, IL",['BlackTwitter'],[],Wanted: Dead or Alive #BlackTwitter https://t.co/cG2lSt41L0
1130,2020-05-07 00:59:51,Shango5T,United States,[],[],"Synopsis:
An armed group of White Men haunted an innocent unarmed Black Man and MURDERED him. 

Georgia Law enforcement DID NOT press ANY charges.

Black community, organize and RETALIATE with the same aggression

or just SHUT THE FUCK UP.

#BlackTwitter

https://t.co/NA0Y18sc3x"
1131,2020-05-07 00:59:50,marixtorresalma,"Chicago, IL",['BlackTwitter'],[],I hate seeing non black people using the hashtag  #BlackTwitter for likes and clout. This is not a hashtag us non black folks can use to post snapchat pictures or gain followers. Thanks for coming to my ted talk. https://t.co/vFvje2XAjz
1132,2020-05-07 00:58:54,trudreadzdotcom,,"['BlackTwitter', 'BlackHistory']","[{'url': 'https://t.co/G4OIU2KE1X', 'expanded_url': 'https://trudreadz.com/2020/04/19/aliens-didnt-build-the-pyramids-or-other-ancient-wonders-it-was-black-people/', 'display_url': 'trudreadz.com/2020/04/19/ali…', 'indices': [109, 132]}]","“Aliens” Didn’t Build The Pyramids Or Other Ancient Wonders, It Was Black People #BlackTwitter #BlackHistory https://t.co/G4OIU2KE1X"
1133,2020-05-07 00:51:13,pierremalikx,"Chicago, IL",['BlackTwitter'],"[{'url': 'https://t.co/NA0Y18sc3x', 'expanded_url': 'https://www.vox.com/identities/2020/5/6/21249202/ahmaud-arbery-jogger-killed-in-georgia-video-shooting-grand-jury', 'display_url': 'vox.com/identities/202…', 'indices': [256, 279]}]","Synopsis:
An armed group of White Men haunted an innocent unarmed Black Man and MURDERED him. 

Georgia Law enforcement DID NOT press ANY charges.

Black community, organize and RETALIATE with the same aggression

or just SHUT THE FUCK UP.

#BlackTwitter

https://t.co/NA0Y18sc3x"
1134,2020-05-07 00:50:56,classjackson,"Austin, TX",['BlackTwitter'],[],"Once, a coworker asked how I deal with all the bureaucracy of the corporate world and my first thought was, 

“The only way black people end up on salary is rapping, going to the league, or being well-versed in navigating white circles” and my answer is clearly C

#BlackTwitter"
1135,2020-05-07 00:46:53,Elias65144693,"Baton Rouge, LA","['JusticeForAhmaud', 'BlackTwitter']",[],"This peaceful coexistence with the murder of our people has to stop, it is alright for us to march against injustice  but the time... may soon come or has come for us to retaliate against injustice 🤔Farrakhan #JusticeForAhmaud #BlackTwitter @MAL___ @JoeBudden @jemelehill"
1136,2020-05-07 00:40:55,vibezhood,Nigeria,"['Level4Restrictions', 'level3', 'congratulations', 'BlackTwitter', 'nodaysoff', 'Wizkidfc', 'PastorChris', 'viber']",[],#Level4Restrictions #level3 #congratulations #BlackTwitter #nodaysoff #Wizkidfc #PastorChris Drop your WhatsApp numbers guy or add up plz 09082044858 My WhatsApp is all about Gun Community ✊🏾 #viber https://t.co/R20BiKpspu
1137,2020-05-06 22:17:50,AmazonResists,"North Carolina, USA","['ArrestThemNow', 'ArrestThemAllNow']",[],@escapedmatrix All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
1138,2020-05-06 22:12:03,NiaEllisTEDW,Boundless,"['ArrestThemNow', 'ArrestThemAllNow', 'AhmaudArbery', 'BlackTwitter', 'legacyoftrauma', 'AmericaStrong', 'JusticeForAhmaudArbery']",[],@marwilliamson All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this. This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
1139,2020-05-06 22:02:54,MoniqueNonye,,"['JusticeForAhmaud', 'BlackTwitter', 'BlackLivesMatter']",[],"#JusticeForAhmaud #BlackTwitter #BlackLivesMatter 

We need to treat those men like the racists from tik tok and facebook. Expose them where it hurts, find their employers or their businesses. We're all in quarantine, something needs to be done!"
1140,2020-05-06 22:01:04,izzyandliv,,"['selflove', 'playlist', 'izzyandliv', 'music', 'musicplaylist', 'blacktwitter', 'spotifyplaylist']","[{'url': 'https://t.co/EcSC6ylRz7', 'expanded_url': 'https://spoti.fi/2VSDu04', 'display_url': 'spoti.fi/2VSDu04', 'indices': [114, 137]}]",Discover or rediscover that #selflove! Jam out to The I Love Me Some Me #playlist brought to your by #izzyandliv! https://t.co/EcSC6ylRz7 #music #musicplaylist #blacktwitter #spotifyplaylist https://t.co/nzyD4DdKcz
1141,2020-05-06 20:58:51,Dropping_Facts,CA,"['BlackLivesMatter', 'BlackTwitter', 'JusticeForAhmaud']","[{'url': 'https://t.co/KSyyymn94v', 'expanded_url': 'https://www.runwithmaud.com/?utm_campaign=later-linkinbio-shaunking&utm_content=later-6940326&utm_medium=social&utm_source=instagram', 'display_url': 'runwithmaud.com/?utm_campaign=…', 'indices': [254, 277]}]","#BlackLivesMatter #BlackTwitter 

AHMAUD ARBERY was out for a jog when he was chased down, shot, &amp; killed by these 2 white supremacists. We must demand the justice he deserves. Click below or call 770.800.0689 to demand #JusticeForAhmaud right away. https://t.co/KSyyymn94v https://t.co/Z8LQhjjx6q"
1142,2020-05-06 19:55:19,pinky_or_brain,Phoenix AZ,[],[],"This woman is NOT exaggerating. You think there’s supervision and accountability in black hospitals? I got a bridge to sell you. 

Black people stay home
#BlackTwitter #StayHome https://t.co/yLlApBtxL1"
1143,2020-05-06 19:44:59,GreenPartyHello,USA,"['TheMountainTopPlan', 'BlackTwitter', 'blacktwitterprayer', 'BlackTwitterGermany', 'BlackTwitterLeaders2020']","[{'url': 'https://t.co/u7Q9T6AUHh', 'expanded_url': 'https://www.facebook.com/TheMountainTopPlan/', 'display_url': 'facebook.com/TheMountainTop…', 'indices': [145, 168]}]","#TheMountainTopPlan It gets us ALL out of poverty immediately, provides FREE NAT'L BLACK TV, &amp; GIVES US A MEANS TO FIGHT RACISM IN REAL TIME https://t.co/u7Q9T6AUHh or suck it up &amp; hush @SteveHarveyFM #BlackTwitter #blacktwitterprayer #BlackTwitterGermany #BlackTwitterLeaders2020"
1144,2020-05-06 19:35:34,318jade,"Dallas, TX/Houston, TX 📍",[],[],"My name is Phoenix Valentine &amp; im a freelance model based in Dallas Tx. Idk who will see this or where it’ll get me but I got alot of potential and all i need is that one chance.✨ Help me out twitter.
#retweet #Blacktwitter https://t.co/UH0pPhu7b6"
1145,2020-05-06 19:32:14,slutty_mouf,"Mississippi, USA","['BlackTwitter', 'explore']",[],"Ladies, do you put your man to sleep or do they put you to sleep?👀 #BlackTwitter #explore"
1146,2020-05-06 19:01:50,SonOfMansa44,,"['WhiteSupremacist', 'AhmadArbery', 'blacktwitter']",[],#WhiteSupremacist = Any1 classified as white through thought deed or action thinks theyre superior to a black by definition is a white supremacist. Eg 2020 White AmeriKKKa continues to justify the lynchings of blacks allowing racist killers w walk free #AhmadArbery #blacktwitter https://t.co/ryywFtm5tB
1147,2020-05-06 17:15:26,NiaEllisTEDW,Boundless,"['ArrestThemNow', 'ArrestThemAllNow', 'AhmaudArbery', 'BlackTwitter', 'legacyoftrauma', 'AmericaStrong', 'JusticeForAhmaudArbery']",[],@escapedmatrix All Americans should demand justice #ArrestThemNow #ArrestThemAllNow You can't unsee this.  This is an American problem.  We the people or not.  Tell the whole truth and Nothing but the truth.  #AhmaudArbery #BlackTwitter #legacyoftrauma #AmericaStrong  #JusticeForAhmaudArbery 🇺🇸
1148,2020-05-06 16:36:55,BigAP_Von,,"['Poll', 'BlackTwitter', 'PickOne', 'black', 'nostalgic']",[],Who is the better father: Carl Winslow Or Uncle Phil?#Poll #BlackTwitter #PickOne #black #nostalgic
1149,2020-05-06 16:10:28,BlkEduEnt,,"['ReparationsForBlackAmericans', 'BlackTwitter']","[{'url': 'https://t.co/Ow393l2aXV', 'expanded_url': 'https://twitter.com/MichelleObama/status/1257316611213520897', 'display_url': 'twitter.com/MichelleObama/…', 'indices': [280, 303]}]","This preview doesn't move me in the least. ""Feeling Seen"" won't deliver #ReparationsForBlackAmericans OR punish cops for taking the lives of Brothas AND SISTAS. ""Feeling Seen"" won't do a damn thing for someone resting in an early grave. That's real, @MichelleObama. #BlackTwitter https://t.co/Ow393l2aXV"
1150,2020-05-06 15:49:54,PurposeSpices,,"['lockdownextension', 'BlackTwitter', 'BlackGirlMagic', 'MothersDayGiftIDeas', 'MothersDay2020', 'Chocolate', 'COVID19', 'NursesWeek', 'NursesWeek2020', 'ChicagoScanner']",[],"🥳🤎Last Minute Mother’s Day Gifts 
Delivery ONLY- Chicagoland Area 🤎🥳 DM or text 7082659070 to order 
@chicagosmayor #lockdownextension #BlackTwitter #BlackGirlMagic #MothersDayGiftIDeas #MothersDay2020 #Chocolate #COVID19 #NursesWeek #NursesWeek2020 #ChicagoScanner https://t.co/4eO08opnQP"
